iter	Passed	Remaining
0	147	147128
1	148	74207
2	149	49844
3	151	37686
4	152	30378
5	153	25492
6	155	22008
7	156	19393
8	157	17366
9	158	15739
10	160	14394
11	161	13279
12	162	12346
13	163	11539
14	165	10840
15	166	10226
16	167	9685
17	168	9207
18	169	8774
19	171	8385
20	172	8033
21	173	7712
22	174	7417
23	175	7144
24	176	6896
25	177	6665
26	179	6453
27	180	6256
28	181	6072
29	182	5903
30	183	5743
31	184	5595
32	186	5456
33	187	5321
34	188	5195
35	189	5077
36	190	4965
37	192	4861
38	193	4759
39	194	4666
40	195	4575
41	196	4489
42	198	4410
43	199	4334
44	200	4261
45	202	4192
46	203	4123
47	204	4057
48	205	3995
49	207	3935
50	208	3878
51	209	3821
52	210	3767
53	212	3722
54	213	3674
55	215	3627
56	216	3580
57	217	3535
58	218	3491
59	220	3451
60	221	3410
61	222	3370
62	224	3332
63	225	3296
64	226	3260
65	227	3225
66	229	3191
67	230	3158
68	231	3125
69	232	3094
70	234	3064
71	235	3035
72	236	3006
73	238	2979
74	239	2954
75	240	2928
76	242	2901
77	243	2874
78	244	2849
79	245	2824
80	246	2801
81	248	2777
82	248	2747
83	250	2726
84	251	2705
85	252	2684
86	253	2663
87	255	2643
88	256	2622
89	257	2603
90	258	2584
91	259	2565
92	261	2547
93	262	2529
94	263	2511
95	264	2493
96	265	2476
97	267	2460
98	268	2443
99	269	2426
100	270	2410
101	271	2393
102	273	2377
103	274	2363
104	275	2348
105	276	2333
106	277	2319
107	279	2305
108	280	2291
109	281	2278
110	282	2265
111	284	2252
112	285	2239
113	286	2228
114	287	2216
115	289	2203
116	290	2189
117	291	2178
118	292	2166
119	293	2155
120	295	2149
121	296	2137
122	298	2126
123	299	2115
124	300	2105
125	302	2095
126	303	2083
127	304	2073
128	305	2064
129	307	2054
130	308	2044
131	309	2036
132	310	2027
133	312	2017
134	313	2008
135	314	1999
136	315	1990
137	317	1981
138	318	1972
139	319	1964
140	321	1955
141	321	1944
142	323	1937
143	324	1929
144	325	1921
145	327	1913
146	328	1905
147	329	1897
148	330	1889
149	332	1882
150	333	1874
151	334	1867
152	335	1859
153	337	1854
154	338	1848
155	340	1841
156	341	1834
157	342	1827
158	344	1820
159	345	1813
160	346	1803
161	347	1796
162	348	1789
163	349	1781
164	351	1776
165	352	1769
166	353	1762
167	354	1756
168	355	1750
169	357	1744
170	358	1737
171	359	1732
172	361	1726
173	362	1721
174	363	1715
175	365	1709
